ds,y,month,weekday,week
2018-09-05,56.034067834476105,9,2,36
2018-09-06,59.9600543468752,9,3,36
2018-09-07,63.11584572378098,9,4,36
2018-09-08,67.27493333934773,9,5,36
2018-09-09,65.5685988926794,9,6,36
2018-09-10,65.5319641642493,9,0,37
2018-09-11,57.8872314727878,9,1,37
2018-09-12,50.24055856670926,9,2,37
2018-09-13,55.19082678011285,9,3,37
2018-09-14,59.42401336160201,9,4,37
2018-09-15,64.71534790974435,9,5,37
2018-09-16,64.19680921183779,9,6,37
2018-09-17,65.40276964512736,9,0,38
2018-09-18,59.05286027993999,9,1,38
2018-09-19,52.74851792543559,9,2,38
2018-09-20,59.081489367139476,9,3,38
2018-09-21,64.72801842147024,9,4,38
2018-09-22,71.4509081854555,9,5,38
2018-09-23,72.36702444275834,9,6,38
2018-09-24,74.99305384051797,9,0,39
2018-09-25,70.02859289324205,9,1,39
2018-09-26,65.05302820960006,9,2,39
2018-09-27,72.6344784822609,9,3,39
2018-09-28,79.4245153140941,9,4,39
2018-09-29,87.16084301398325,9,5,39
2018-09-30,88.93548765775253,9,6,39
2018-10-01,92.24129033728897,10,0,40
2018-10-02,87.75575943844584,10,1,40
2018-10-03,83.03871920321899,10,2,40
2018-10-04,90.64200072867146,10,3,40
2018-10-23,90.84848576468283,10,1,43
2018-10-24,81.63047161149026,10,2,43
2018-10-25,84.9369696602879,10,3,43
2018-10-26,87.50058358926375,10,4,43
2018-10-27,91.14083928053915,10,5,43
2018-10-28,89.03066306798283,10,6,43
2018-10-29,88.74111311008244,10,0,44
2018-10-30,81.02346057292661,10,1,44
2018-10-31,73.50510180727181,10,2,44
2018-11-01,78.79759255392374,11,3,44
2018-11-02,83.59054099434258,11,4,44
2018-11-03,89.65355831229346,11,5,44
2018-11-04,90.09981161822452,11,6,44
2018-11-05,92.44410058587283,11,0,45
2018-11-06,87.37430174453684,11,1,45
2018-11-07,82.4528504681794,11,2,45
2018-11-08,90.22640164731453,11,3,45
2019-01-22,87.67967501365762,1,1,4
2019-01-23,79.7958286653514,1,2,4
2019-01-24,84.95803333220174,1,3,4
2019-01-25,89.81783807942026,1,4,4
2019-01-30,90.51111387316948,1,2,5
2019-05-01,87.82843350748828,5,2,18
2019-05-02,92.15843677996287,5,3,18
2019-05-07,91.99827004975994,5,1,19
2019-05-08,84.77614764650953,5,2,19
2019-05-09,90.17356433555828,5,3,19
2019-05-15,90.45397853731376,5,2,20
2019-07-04,85.35060120286128,7,3,27
2019-08-21,89.22219651014085,8,2,34
2019-08-22,92.20009716515756,8,3,34
2019-08-26,92.58270407510426,8,0,35
2019-08-27,83.33211340314757,8,1,35
2019-08-28,73.96709555654496,8,2,35
2019-08-29,77.08933028992868,8,3,35
2019-08-30,79.3863732168282,8,4,35
2019-08-31,82.63417367264196,8,5,35
2019-09-01,79.96503031544681,9,6,35
2019-09-02,90.39336897574881,9,0,36
2019-09-03,70.20122259308995,9,1,36
2019-09-04,61.43136210997953,9,2,36
2019-09-05,65.20047101423624,9,3,36
2019-09-06,68.19191533325645,9,4,36
2019-09-07,72.17875942549891,9,5,36
2019-09-08,70.29173631999939,9,6,36
2019-09-09,70.065364033169,9,0,37
2019-09-10,62.22126048495822,9,1,37
2019-09-11,54.365097812010724,9,2,37
2019-09-12,59.095451690649206,9,3,37
2019-09-13,63.09825318878953,9,4,37
2019-09-14,68.1490196353845,9,5,37
2019-09-15,67.38041742551755,9,6,37
2019-09-16,68.32796072798797,9,0,38
2019-09-17,61.71291634864642,9,1,38
2019-09-18,55.13887351950193,9,2,38
2019-09-19,61.20025190659008,9,3,38
2019-09-20,66.5764721051288,9,4,38
2019-09-21,73.0339803090256,9,5,38
2019-09-22,73.69369313548944,9,6,38
2019-09-23,76.07667697461855,9,0,39
2019-09-24,70.8871394098851,9,1,39
2019-09-25,65.70919530631932,9,2,39
2019-09-26,73.11568096924488,9,3,39
2019-09-27,79.76273690214661,9,4,39
2019-09-28,87.39234325044907,9,5,39
2019-09-29,89.10036256947296,9,6,39
2019-09-30,92.38288944357058,9,0,40
2019-10-01,87.91996652461972,10,1,40
2019-10-02,83.27310894883959,10,2,40
2019-10-03,90.99488781564907,10,3,40
2019-10-23,87.32145526482887,10,2,43
2019-10-24,90.50602989909257,10,3,43
2019-10-25,92.87872983992847,10,4,43
2019-10-28,93.1712469014499,10,0,44
2019-10-29,85.03348493508632,10,1,44
2019-10-30,77.05709217782533,10,2,44
2019-10-31,81.86391870812221,10,3,44
2019-11-01,86.15476630806089,11,4,44
2019-11-02,91.71107433675937,11,5,44
2019-11-03,91.66220697426405,11,6,44
2019-11-05,88.01775291498876,11,1,45
2019-11-06,82.69578872229675,11,2,45
2019-11-07,90.1223967203829,11,3,45
2020-01-21,92.18756126804067,1,1,4
2020-01-22,83.51433925023193,1,2,4
2020-01-23,87.9005073078037,1,3,4
2020-01-24,92.01474701459853,1,4,4
2020-01-29,89.94241172537032,1,2,5
2020-04-29,91.83014836608356,4,2,18
2020-05-06,87.59813494304362,5,2,19
2020-05-07,92.75638985809393,5,3,19
2020-05-13,91.63664413915225,5,2,20
2020-08-25,88.87093799872994,8,1,35
2020-08-26,79.44671189676103,8,2,35
2020-08-27,82.4955932508418,8,3,35
2020-08-28,84.70666021844096,8,4,35
2020-08-29,87.85728377165766,8,5,35
2020-08-30,85.08102520825346,8,6,35
2020-08-31,83.91377086007503,8,0,36
2020-09-01,75.0771567947024,9,1,36
2020-09-02,66.17572086297362,9,2,36
2020-09-03,69.80603071008758,9,3,36
2020-09-04,72.65148491533313,9,4,36
2020-09-05,76.48495035295265,9,5,36
2020-09-06,74.43677267457957,9,6,36
2020-09-07,85.52054162497603,9,0,37
2020-09-08,66.01849084329527,9,1,37
2020-09-09,57.974483491581424,9,2,37
2020-09-10,62.50698148251365,9,3,37
2020-09-11,66.30155765942884,9,4,37
2020-09-12,71.13361106558683,9,5,37
2020-09-13,70.1360057771976,9,6,37
2020-09-14,70.84483800271846,9,0,38
2020-09-15,63.98239845206323,9,1,38
2020-09-16,57.1537857722097,9,2,38
2020-09-17,62.955441757484465,9,3,38
2020-09-18,68.06933051042684,9,4,38
2020-09-19,74.26495172592949,9,5,38
2020-09-20,74.66675321743057,9,6,38
